% TITLE: Pre-processed output of Malcious Mining for Classification 
% Collected using the Malicous Crawler 

@RELATION MaliciousMining 

@ATTRIBUTE id NUMERIC 
@ATTRIBUTE url_length NUMERIC 
@ATTRIBUTE https_used {0,1} 
@ATTRIBUTE document_length NUMERIC 
@ATTRIBUTE re_direction {0,1} 
@ATTRIBUTE cloaking {0,1} 
@ATTRIBUTE javascript_length NUMERIC 
@ATTRIBUTE no_eval NUMERIC 
@ATTRIBUTE no_document_writes NUMERIC 
@ATTRIBUTE maliciousness_found {YES,NO} 

@DATA 
2195,55,0,310701,0,0,15208,0,1,NO
2196,49,0,198578,0,0,15172,0,1,NO
2197,49,0,203742,0,0,15185,0,1,NO
2198,54,0,310277,0,0,15212,0,1,NO
2199,48,0,269975,0,0,15165,0,1,NO
2200,52,0,212634,0,0,15189,0,1,NO
2201,52,0,216672,0,0,15206,0,1,NO
2202,53,0,259945,0,0,15198,0,1,NO
2203,51,0,189709,0,0,15124,0,1,NO
2204,49,0,269226,0,0,15176,0,1,NO
2205,47,0,204177,0,0,15165,0,1,NO
2206,48,0,217980,0,0,15163,0,1,NO
2207,52,0,271757,0,0,15203,0,1,NO
2208,51,0,276965,0,0,15190,0,1,NO
2209,54,0,44441,0,0,9196,0,1,NO
2210,58,0,44441,0,0,9196,0,1,NO
2211,58,0,44441,0,0,9196,0,1,NO
2212,57,0,44442,0,0,9197,0,1,NO
2213,53,0,44441,0,0,9196,0,1,NO
2214,64,0,44441,0,0,9196,0,1,NO
2215,65,0,44440,0,0,9195,0,1,NO
2216,56,0,44441,0,0,9196,0,1,NO
2217,56,0,44441,0,0,9196,0,1,NO
2218,55,0,44441,0,0,9196,0,1,NO
2219,54,0,44442,0,0,9197,0,1,NO
2220,60,0,44442,0,0,9197,0,1,NO
2221,60,0,44441,0,0,9196,0,1,NO
2222,58,0,44441,0,0,9196,0,1,NO
2223,58,0,44441,0,0,9196,0,1,NO
2224,57,0,44442,0,0,9197,0,1,NO
2225,57,0,44441,0,0,9196,0,1,NO
2226,57,0,44441,0,0,9196,0,1,NO
2227,60,0,44441,0,0,9196,0,1,NO
2228,51,0,44441,0,0,9196,0,1,NO
2229,59,0,44441,0,0,9196,0,1,NO
2230,63,0,44441,0,0,9196,0,1,NO
2231,55,0,44441,0,0,9196,0,1,NO
2232,55,0,44441,0,0,9196,0,1,NO
2233,52,0,44442,0,0,9197,0,1,NO
2234,59,0,44441,0,0,9196,0,1,NO
2235,54,0,44442,0,0,9197,0,1,NO
2236,59,0,44441,0,0,9196,0,1,NO
2237,56,0,44441,0,0,9196,0,1,NO
